channel_title,category_id,tags,decision,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
JunsKitchen,26,1,1.0,3.0,2.0,3.0,False,False,False
SpaceX,28,0,1.0,3.0,3.0,3.0,False,False,False
FoxSearchlight,1,1,0.0,0.0,0.0,0.0,False,False,False
FX Networks,24,1,0.0,0.0,0.0,0.0,False,False,False
Good Mythical MORE,24,1,0.0,1.0,1.0,1.0,False,False,False
videogamedunkey,20,1,1.0,3.0,3.0,3.0,False,False,False
ScreenPrism,1,1,0.0,0.0,1.0,1.0,False,False,False
You Suck At Cooking,26,1,1.0,2.0,2.0,2.0,False,False,False
The Daily Show with Trevor Noah,23,1,1.0,2.0,3.0,2.0,False,False,False
DamonAndJo,23,1,0.0,0.0,1.0,0.0,False,False,False
Budweiser,24,1,0.0,0.0,0.0,0.0,False,False,False
Matthias,28,1,1.0,2.0,2.0,2.0,False,False,False
Tyler Williams,22,1,1.0,3.0,2.0,2.0,False,False,False
The Tonight Show Starring Jimmy Fallon,23,1,0.0,0.0,2.0,0.0,False,False,False
KKandbabyJ,22,1,0.0,2.0,1.0,2.0,False,False,False
Safiya Nygaard,22,1,1.0,3.0,2.0,3.0,False,False,False
CinemaSins,1,1,1.0,2.0,2.0,3.0,False,False,False
Waterjet Channel,28,1,1.0,2.0,2.0,2.0,False,False,False
IFC Films,1,1,0.0,0.0,1.0,0.0,False,False,False
miniminter,20,1,1.0,3.0,3.0,3.0,False,False,False
UFC ON FOX,17,1,1.0,0.0,2.0,1.0,False,False,False
Bethesda Softworks,20,1,1.0,3.0,2.0,3.0,False,False,False
euronews (in English),25,1,0.0,0.0,0.0,0.0,False,False,False
NASA Goddard,28,1,1.0,1.0,1.0,1.0,False,False,False
Red Bull,17,1,0.0,1.0,0.0,0.0,False,False,False
BuzzFeedVideo,22,1,0.0,2.0,2.0,1.0,False,False,False
The Film Theorists,1,1,1.0,3.0,3.0,3.0,False,False,False
jacksfilms,23,1,1.0,3.0,2.0,3.0,False,False,False
The Late Late Show with James Corden,24,1,1.0,3.0,3.0,3.0,False,False,False
Fueled By Ramen,10,1,0.0,0.0,0.0,0.0,False,False,False
MrTreknation,22,0,0.0,0.0,1.0,0.0,False,False,False
BBC Sport,17,1,0.0,1.0,0.0,0.0,False,False,False
MODSUN,10,1,0.0,0.0,3.0,1.0,False,False,False
NBC,24,1,0.0,0.0,0.0,0.0,False,False,False
ExplosmEntertainment,23,1,1.0,2.0,2.0,2.0,False,False,False
Vanity Fair,24,1,1.0,2.0,2.0,1.0,False,False,False
Kurzgesagt – In a Nutshell,27,1,1.0,3.0,2.0,3.0,False,False,False
TheSorryGirls,26,1,0.0,1.0,1.0,0.0,False,False,False
VICE News,25,1,0.0,0.0,1.0,1.0,False,False,False
AlisonWonderlandVEVO,10,1,0.0,1.0,1.0,0.0,False,False,False
Jason Mraz,10,1,1.0,2.0,1.0,2.0,False,False,False
E! Entertainment,24,1,1.0,1.0,1.0,0.0,False,False,False
Austin Burk,10,1,0.0,0.0,0.0,0.0,False,False,False
GreatScott!,28,1,0.0,1.0,0.0,1.0,False,False,False
jacksepticeye,24,1,0.0,2.0,1.0,3.0,False,False,False
Primitive Technology,22,0,1.0,3.0,2.0,3.0,False,False,False
leonalewis,10,1,0.0,1.0,0.0,1.0,False,False,False
IISuperwomanII,23,1,1.0,3.0,2.0,3.0,False,False,False
The Late Late Show with James Corden,24,1,1.0,2.0,1.0,1.0,False,False,False
DanTDM,24,1,1.0,3.0,3.0,3.0,False,False,False
Land Rover,2,1,1.0,2.0,2.0,1.0,False,False,False
CNN,25,1,0.0,0.0,2.0,1.0,False,False,False
Joan Kim,26,1,0.0,0.0,0.0,0.0,False,False,False
Camila Cabello,10,1,1.0,3.0,2.0,3.0,False,False,False
Chloe x Halle,10,1,0.0,2.0,1.0,1.0,False,False,False
